ranking,ISBN,description,author,avg_rating,title,num_ratings,score,awards,voted,year,pages
791,9781903434772," Venice. Autumn. ,Rich Aunt Esther wants only angelic orphan Boniface 5, not serious Prospero 12. She hires PI Victor Getz. Thief Lord Scipo brings loot, clothes, to runaways in abandoned theatre Stella. Hornet adds brothers to gang with tall Mosca and scrawny Riccio. ,But Scipio hides a secret. And old Conte from a cursed isle wants",Cornelia Funke,3.95,The Thief Lord,"70,286","1,367","Book Sense Book of the Year Award for Children's Literature (2003),Batchelder Award (2003),Zilveren Griffel (2004),Grand Canyon Reader Award for Teen Book (2004),Massachusetts Children's Book Award (2005)",19,2000,350
601,9780142437292,"This is the story of Moses Herzog, a great sufferer, joker, mourner, and charmer. Although his life steadily disintegrates around him - he has failed as a writer and teacher, as a father, and has lost the affection of his wife to his best friend - Herzog sees himself as a survivor, both of his private disasters and those of the age. He writes unsent letters to friends and",Saul Bellow,3.79,Herzog,"16,191","2,419","National Book Award for Fiction (1965),Premio Formentor de las Letras for International (1965)",37,1964,371
501,9780451194008,"Rosemary and Guy Woodhouse, an ordinary young couple, settle into a New York City apartment, unaware that the elderly neighbors and their bizarre group of friends have taken a disturbing interest in them. But by the time Rosemary discovers the horrifying truth, it may be far too late!",Ira Levin,3.97,"Rosemary's Baby (Rosemary's Baby, #1)","87,967","3,599",Edgar Award Nominee for Best Novel (1968),63,1967,308
790,9780449016190,"Andrew Harlan is an Eternal, a man whose job it is to range through past and present Centuries, monitoring and, where necessary, altering Time's myriad cause-and-effect relationships. But when Harlan meets and falls for a non-Eternal woman, he seeks to use the awesome powers and techniques of the Eternals to twist time for his own purposes, so that he and his love can surv",Isaac Asimov,4.21,The End of Eternity,"33,375","1,371",Hugo Award Nominee for Best Novel (1956),21,1955,192
789,9780060885410,"Pa heads west to the unsettled wilderness of the Dakota Territory. When Ma, Laura, Mary, Carrie, and Grace join him, they become the first settlers in the town of DeSmet. And Pa begins work on the first building in what will soon be a brand-new town on the shores of Silver Lake.",Laura Ingalls Wilder,4.16,"By the Shores of Silver Lake  (Little House, #5)","58,799","1,372","Newbery Honor (1940),Pacific Northwest Library Association Young Reader's Choice Award (1942),Boston Globe-Horn Book Award (1939)",18,1939,357
788,9780440401582,"In this companion volume to ""A Wrinkle In Time"" (Newbery Award winner) and ""A Wind In The Door"" fifteen-year-old Charles Wallace and the unicorn Gaudior undertake a perilous journey through time in a desperate attempt to stop the destruction of the world by the mad dictator Madog Branzillo. They are not alone in their quest. Charles Wallace's sister, Meg--grown and expecti",Madeleine L'Engle,4.13,"A Swiftly Tilting Planet (A Wrinkle in Time Quintet, #3)","85,870","1,374",National Book Award for Children's Books (Paperback) (1980),25,1978,256
810,9780805211061,"Left unfinished by Kafka in 1922 and not published until 1926, two years after his death, ,is the haunting tale of K.’s relentless, unavailing struggle with an inscrutable authority in order to gain access to the Castle. Scrupulously following the fluidity and breathlessness of the sparsely punctuated original manuscrip",Franz Kafka,3.97,The Castle,"33,350","1,310",Schlegel-Tieck Prize Nominee for J.A. Underwood (1998),20,1926,316
817,9780312421434,None,Naomi Klein,3.87,No Logo,"21,737","1,286",Guardian First Book Award Nominee (2000),18,1999,528
801,9780449911938,"In this sequel to , John Updike resumes the spiritual quest of his anxious Everyman, Harry “Rabbit” Angstrom. Ten years have passed; the impulsive former athlete has become a paunchy thirty-six-year-old conservative, and Eisenhower’s becalmed America has become 1969’s lurid turmoil of technology, fantasy, drugs, and violence. Rabbit is abandoned by his family, h",John Updike,3.79,Rabbit Redux (Rabbit Angstrom #2),"12,169","1,338",National Book Award Finalist for Fiction (1972),18,1971,440
400,9780061054884,"Shevek, a brilliant physicist, decides to take action. He will seek answers, question the unquestionable, and attempt to tear down the walls of hatred that have isolated his planet of anarchists from the rest of the civilized universe. To do this dangerous task will mean giving up his family and possibly his life--Shevek must make the unprecedented journey to the utopian m",Ursula K. Le Guin,4.19,The Dispossessed,"57,755","5,883","Hugo Award for Best Novel (1975),Nebula Award for Best Novel (1974),Prometheus Hall of Fame Award (1993),Locus Award for Best Novel (1975),Jupiter Award for Best Novel (1975)",76,1974,387
